Symbol,Headquarter,Date Added,Founding Year
NKE,"Washington County, Oregon",1988-11-30,1964
NI,"Merrillville, Indiana",,1912
NSC,"Atlanta, Georgia",1957-03-04,1990
NTRS,"Chicago, Illinois",,1889
NOC,"West Falls Church, Virginia",1985-06-30,1994
NLOK,"Tempe, Arizona",2003-03-25,1982
NCLH,"Miami, Florida",2017-10-13,1966
NOV,"Houston, Texas",2005-03-14,1841
NRG,"Houston, Texas",2010-01-29,1992
NUE,"Charlotte, North Carolina",1985-04-30,1940
NVDA,"Santa Clara, California",2001-11-30,1993
NVR,"Reston, Virginia",2019-09-26,1980
NXPI,"Eindhoven, Netherlands",2021-03-22,1953
ORLY,"Springfield, Missouri",2009-03-27,1957
OXY,"Houston, Texas",1982-12-31,1920
ODFL,"Thomasville, North Carolina",2019-12-09,1934
OMC,"New York City, New York",,1986
OKE,"Tulsa, Oklahoma",2010-03-15,1906
ORCL,"Austin, Texas",1989-08-31,1977
OGN,"Jersey City, New Jersey",2021-06-03,2021
OTIS,"Farmington, Connecticut",2020-04-03,1853
PCAR,"Bellevue, Washington",1980-12-31,1905
PKG,"Lake Forest, Illinois",2017-07-26,1959
PH,"Cleveland, Ohio",1985-11-30,1917
PAYX,"Penfield, New York",,1971
PAYC,"Oklahoma City, Oklahoma",2020-01-28,1998
PYPL,"San Jose, California",2015-07-20,1998
PENN,"Wyomissing, Pennsylvania",2021-03-22,1972
PNR,"Worsley, England",2012-10-01,1966
PBCT,"Bridgeport, Connecticut",2008-11-13,1842
PEP,"Purchase, New York",1957-03-04,1898
PKI,"Waltham, Massachusetts",1985-05-31,1937
PRGO,"Dublin, Ireland",2011-12-19,1887
PFE,"New York City, New York",1957-03-04,1849
PM,"New York City, New York",2008-03-31,1847
PSX,"Houston, Texas",2012-05-01,2012
PNW,"Phoenix, Arizona",,1985
PXD,"Irving, Texas",2008-09-24,1997
PNC,"Pittsburgh, Pennsylvania",1988-04-30,1845
POOL,"Covington, Louisiana",2020-10-07,1993
PPG,"Pittsburgh, Pennsylvania",1957-03-04,1883
PPL,"Allentown, Pennsylvania",,1920
PFG,"Des Moines, Iowa",2002-07-22,1879
PG,"Cincinnati, Ohio",1957-03-04,1837
PGR,"Mayfield Village, Ohio",1997-08-04,1937
PLD,"San Francisco, California",2003-07-17,1983
PRU,"Newark, New Jersey",2002-07-22,1875
PTC,"Boston, Massachusetts",2021-04-20,1985
PEG,"Newark, New Jersey",1957-03-04,1903
PSA,"Glendale, California",2005-08-19,1972
PHM,"Atlanta, Georgia",1984-04-30,1956
PVH,"New York City, New York",2013-02-15,1881
QRVO,"Greensboro, North Carolina",2015-06-11,2015
PWR,"Houston, Texas",2009-07-01,1997
