Symbol,EPS
DXCM,"{'2021': 1.04, '2020': 5.06, '2019': 1.1}"
EA,"{'2021': 2.87, '2020': 10.3, '2019': 2.38}"
EBAY,"{'2021': 16.52, '2020': 7.89, '2019': 2.09}"
ECL,"{'2021': 1.75, '2020': 4.15, '2019': 5.33}"
ED,"{'2021': 1.7, '2020': 3.28, '2019': 4.08}"
EFX,"{'2021': 3.38, '2020': 4.24, '2019': 3.15}"
EIX,"{'2021': 1.52, '2020': 1.98, '2019': 3.77}"
EL,"{'2021': 7.79, '2020': 1.86, '2019': 4.82}"
EMN,"{'2021': 0.93, '2020': 3.5, '2019': 5.48}"
EMR,"{'2021': 2.71, '2020': 3.24, '2019': 3.71}"
ENPH,"{'2021': 0.49, '2020': 0.95, '2019': 1.23}"
EOG,"{'2021': 2.72, '2020': 1.04, '2019': 4.71}"
EQIX,"{'2021': 2.5, '2020': 4.18, '2019': 5.99}"
EQR,"{'2021': 1.0, '2020': 2.45, '2019': 2.6}"
ES,"{'2021': 1.83, '2020': 3.55, '2019': 2.81}"
ESS,"{'2021': 3.59, '2020': 8.69, '2019': 6.66}"
ETN,"{'2021': 2.4, '2020': 3.49, '2019': 5.25}"
ETR,"{'2021': 1.63, '2020': 6.9, '2019': 6.3}"
ETSY,"{'2021': 1.68, '2020': 2.69, '2019': 0.76}"
EVRG,"{'2021': 1.65, '2020': 2.72, '2019': 2.79}"
EW,"{'2021': 1.31, '2020': 1.3, '2019': 1.64}"
EXC,"{'2021': 0.11, '2020': 2.01, '2019': 3.01}"
EXPD,"{'2021': 3.52, '2020': 4.07, '2019': 3.39}"
EXPE,"{'2021': 6.16, '2020': 19.0, '2019': 3.77}"
EXR,"{'2021': 2.79, '2020': 3.71, '2019': 3.24}"
F,"{'2021': 0.95, '2020': 0.32, '2019': 0.01}"
FANG,"{'2021': 3.06, '2020': 28.59, '2019': 1.47}"
FAST,"{'2021': 0.78, '2020': 1.49, '2019': 1.38}"
FB,"{'2021': 6.9, '2020': 10.09, '2019': 6.43}"
FBHS,"{'2021': 2.81, '2020': 3.94, '2019': 3.06}"
FCX,"{'2021': 1.21, '2020': 0.41, '2019': 0.17}"
FDX,"{'2021': 19.45, '2020': 4.9, '2019': 2.03}"
FE,"{'2021': 0.72, '2020': 1.99, '2019': 1.68}"
FFIV,"{'2021': 3.55, '2020': 5.01, '2019': 7.08}"
FIS,"{'2021': 0.05, '2020': 0.25, '2019': 0.66}"
FISV,"{'2021': 0.85, '2020': 1.4, '2019': 1.71}"
FITB,"{'2021': 1.87, '2020': 1.83, '2019': 3.33}"
FLT,"{'2021': 4.45, '2020': 8.12, '2019': 9.94}"
FMC,"{'2021': 2.97, '2020': 4.22, '2019': 3.62}"
FOX,"{'2021': 3.61, '2020': 1.62, '2019': 1.58}"
FOXA,"{'2021': 3.61, '2020': 1.62, '2019': 1.58}"
FRT,"{'2021': 1.16, '2020': 1.62, '2019': 4.61}"
FTNT,"{'2021': 1.47, '2020': 2.91, '2019': 1.9}"
FTV,"{'2021': 0.75, '2020': 1.02, '2019': 1.46}"
GD,"{'2021': 5.1, '2020': 11.0, '2019': 11.98}"
GE,"{'2021': 3.68, '2020': 4.64, '2019': 4.96}"
GILD,"{'2021': 2.58, '2020': 0.1, '2019': 4.22}"
GIS,"{'2021': 3.78, '2020': 3.56, '2019': 2.9}"
GL,"{'2021': 3.62, '2020': 6.82, '2019': 6.83}"
GLW,"{'2021': 0.27, '2020': 0.54, '2019': 1.07}"
GM,"{'2021': 3.93, '2020': 4.33, '2019': 4.57}"
GNRC,"{'2021': 4.34, '2020': 5.48, '2019': 4.03}"
GOOG,"{'2021': 53.54, '2020': 58.61, '2019': 49.16}"
GOOGL,"{'2021': 53.54, '2020': 58.61, '2019': 49.16}"
GPC,"{'2021': 2.85, '2020': 0.2, '2019': 4.24}"
GPN,"{'2021': 1.55, '2020': 1.95, '2019': 2.16}"
GPS,"{'2021': 1.78, '2020': 0.93, '2019': 1.41}"
GRMN,"{'2021': 2.78, '2020': 5.17, '2019': 4.99}"
GS,"{'2021': 33.64, '2020': 24.74, '2019': 21.03}"
GWW,"{'2021': 8.76, '2020': 12.82, '2019': 15.32}"
HAL,"{'2021': 0.45, '2020': 3.34, '2019': 1.29}"
HAS,"{'2021': 0.68, '2020': 1.62, '2019': 4.05}"
HBAN,"{'2021': 0.4, '2020': 0.69, '2019': 1.27}"
HBI,"{'2021': 0.38, '2020': 0.21, '2019': 1.64}"
HCA,"{'2021': 8.5, '2020': 10.93, '2019': 10.07}"
HD,"{'2021': 11.94, '2020': 10.25, '2019': 4.61}"
HES,"{'2021': 0.58, '2020': 10.15, '2019': 1.37}"
HIG,"{'2021': 3.17, '2020': 4.76, '2019': 5.66}"
HII,"{'2021': 6.87, '2020': 17.14, '2019': 13.26}"
HLT,"{'2021': 0.08, '2020': 2.56, '2019': 3.04}"
HOLX,"{'2021': 5.93, '2020': 4.21, '2019': 0.76}"
HON,"{'2021': 4.06, '2020': 6.72, '2019': 8.41}"
HPE,"{'2021': 0.66, '2020': 0.25, '2019': 0.77}"
HPQ,"{'2021': 2.73, '2020': 2.0, '2019': 2.07}"
HRL,"{'2021': 1.15, '2020': 1.66, '2019': 1.8}"
HSIC,"{'2021': 2.82, '2020': 4.65, '2019': 3.49}"
HST,"{'2021': 0.3, '2020': 1.04, '2019': 1.26}"
HSY,"{'2021': 3.35, '2020': 6.11, '2019': 5.46}"
HUM,"{'2021': 10.94, '2020': 25.31, '2019': 20.1}"
HWM,"{'2021': 0.35, '2020': 0.59, '2019': 1.03}"
IBM,"{'2021': 2.52, '2020': 6.23, '2019': 10.56}"
ICE,"{'2021': 3.36, '2020': 3.77, '2019': 3.42}"
IDXX,"{'2021': 4.69, '2020': 6.71, '2019': 4.89}"
IEX,"{'2021': 2.81, '2020': 4.94, '2019': 5.56}"
IFF,"{'2021': 0.06, '2020': 3.21, '2019': 4.0}"
ILMN,"{'2021': 2.26, '2020': 4.45, '2019': 6.74}"
INCY,"{'2021': 0.91, '2020': 1.36, '2019': 2.05}"
INFO,"{'2021': 0.77, '2020': 2.17, '2019': 1.23}"
INTC,"{'2021': 2.06, '2020': 4.94, '2019': 4.71}"
INTU,"{'2021': 7.56, '2020': 6.92, '2019': 5.89}"
IP,"{'2021': 1.96, '2020': 1.22, '2019': 3.07}"
IPG,"{'2021': 0.89, '2020': 0.89, '2019': 1.68}"
IPGP,"{'2021': 2.55, '2020': 2.97, '2019': 3.35}"
IQV,"{'2021': 1.99, '2020': 1.43, '2019': 0.96}"
IR,"{'2021': 0.34, '2020': 0.09, '2019': 0.76}"
IRM,"{'2021': 1.11, '2020': 1.19, '2019': 0.93}"
ISRG,"{'2021': 7.77, '2020': 8.82, '2019': 11.54}"
IT,"{'2021': 4.95, '2020': 2.96, '2019': 2.56}"
ITW,"{'2021': 4.56, '2020': 6.63, '2019': 7.74}"
IVZ,"{'2021': 1.37, '2020': 1.13, '2019': 1.28}"
J,"{'2021': 2.87, '2020': 3.71, '2019': 6.08}"
JBHT,"{'2021': 2.98, '2020': 4.74, '2019': 4.77}"
JCI,"{'2021': 1.89, '2020': 0.84, '2019': 6.49}"
JKHY,"{'2021': 4.12, '2020': 3.86, '2019': 3.52}"
JNJ,"{'2021': 4.67, '2020': 5.51, '2019': 5.63}"
JNPR,"{'2021': 0.09, '2020': 0.77, '2019': 0.99}"
JPM,"{'2021': 8.28, '2020': 8.88, '2019': 10.72}"
K,"{'2021': 2.18, '2020': 3.63, '2019': 2.8}"
KEY,"{'2021': 1.34, '2020': 1.27, '2019': 1.62}"
KEYS,"{'2021': 3.27, '2020': 3.31, '2019': 3.25}"
